subject,DU time o,DU time r,DU time a,DU time n,DU time g,DU time shift,DU time E,DU time 2,DU time 0,DU time 1,DU time 9,DU time shift,DU time !,UD time o,UD time r,UD time a,UD time n,UD time g,UD time shift,UD time E,UD time 2,UD time 0,UD time 1,UD time 9,UD time shift,UD time !,3GRAM1,3GRAM2,3GRAM3,3GRAM4,3GRAM5,3GRAM6,3GRAM7,3GRAM8,3GRAM9,TOTAL TIME
sub39,0.141,0.14,0.141,0.125,0.141,0.266,0.172,0.172,0.14,0.156,0.141,0.218,0.156,0.094,0.203,0.297,0.047,0.39,0.156,0.281,0,0.015,0.031,0.125,0.078,1.141,1.094,1.407,0.985,1.266,0.875,0.906,0.563,0.734,0.687,3.266
sub60,0.078,0.063,0.109,0.078,0.046,0.193,0.063,0.093,0.063,0.094,0.063,0.265,0.172,0.271,0.094,0.094,0.219,0.195,0.047,0.4,0.078,0.099,0.031,0.375,0.156,0.787,0.703,0.934,0.747,0.943,0.843,0.89,0.521,0.99,0.844,3.033
sub61,0.063,0.073,0.062,0.08,0.063,0.21,0.078,0.078,0.063,0.078,0.063,0.297,0.078,0.281,0.317,0.125,0.187,0.515,0,0.407,0.375,0.434,0.25,0.297,0.047,1.001,0.907,1.242,1.133,1.351,1.211,1.513,1.341,1.482,1.016,4.427
sub61,0.078,0.078,0.11,0.093,0.087,0.241,0.101,0.095,0.125,0.14,0.109,0.328,0.078,0.358,0.234,0.125,0.188,0.266,0.054,0.359,0.219,0.172,0.141,0.329,0.078,1.076,0.915,1.11,0.922,1.095,1.086,1.211,1.001,1.328,1.047,3.922
sub62,0.094,0.109,0.078,0.093,0.078,0.344,0.079,0.078,0.062,0.094,0.063,0.266,0.078,0.438,0.235,0.047,0.141,0.109,0.079,0.36,0.047,0.047,0.016,0.266,0.078,1.094,0.781,0.875,0.765,0.969,0.891,0.782,0.375,0.719,0.673,3.033
sub63,0.079,0.078,0.093,0.095,0.063,0.703,0.078,0.141,0.094,0.157,0.062,0.743,0.078,0.422,0.203,0.219,0.187,0.328,0.078,0.406,0.203,0.181,0.125,0.469,0.078,1.189,0.938,1.594,1.376,1.641,1.547,1.354,0.963,1.706,1.556,5.051
sub64,0.094,0.125,0.11,0.093,0.078,0.595,0.094,0.11,0.094,0.11,0.109,0.218,0.062,0.078,0.234,0.167,0.469,0.078,0.094,0.708,0.031,0.015,0.031,2.705,0.062,0.901,1.276,1.48,1.313,1.569,1.538,1.272,0.5,3.235,3.173,6.252
sub64,0.109,0.109,0.11,0.11,0.094,0.376,0.11,0.125,0.094,0.109,0.109,0.266,0.093,0.047,0.078,0.062,0.046,0.656,0.11,0.281,0.031,0.094,0.094,0.266,0.093,0.625,0.609,1.423,1.282,1.532,0.907,0.875,0.656,1,0.844,3.266
sub65,0.047,0.094,0.094,0.094,0.11,0.109,0.109,0.078,0.093,0.109,0.078,0.11,0.094,0.344,0.281,0.25,0.265,0.625,0.078,0.985,0.235,0.188,0.266,1.391,0.079,1.204,1.188,1.547,1.234,1.938,1.531,1.797,1.047,2.235,1.969,5.892
sub65,0.078,0.047,0.109,0.078,0.094,0.125,0.125,0.078,0.078,0.093,0.047,0.156,0.093,0.297,0.234,0.282,0.25,0.781,0.078,0.891,0.219,0.188,0.235,1.297,0.078,1.125,1.094,1.719,1.375,2.016,1.438,1.672,0.938,2.094,1.843,5.719
